radius,temp,xyvel,zvel
0.55,1,215.41,0
0.55703,0.91397,217.93,4.7703
0.56406,0.83176,220.03,9.4128
0.57109,0.75543,221.74,13.926
0.57812,0.68634,223.07,18.307
0.58516,0.62512,224.04,22.555
0.59219,0.57176,224.69,26.67
0.59922,0.52582,225.04,30.651
0.60625,0.48662,225.11,34.499
0.61328,0.45336,224.94,38.214
0.62031,0.42524,224.53,41.797
0.62734,0.40156,223.92,45.249
0.63438,0.38167,223.13,48.571
0.64141,0.36502,222.17,51.765
0.64844,0.35115,221.06,54.833
0.65547,0.33967,219.82,57.777
0.6625,0.33024,218.47,60.599
0.66953,0.32257,217.02,63.3
0.67656,0.31643,215.48,65.884
0.68359,0.31159,213.87,68.352
0.69063,0.30789,212.2,70.707
0.69766,0.30517,210.48,72.951
0.70469,0.30328,208.71,75.087
0.71172,0.30213,206.92,77.117
0.71875,0.30161,205.11,79.044
0.72578,0.30163,203.29,80.87
0.73281,0.30211,201.46,82.597
0.73984,0.303,199.63,84.229
0.74687,0.30423,197.82,85.767
0.75391,0.30575,196.02,87.214
0.76094,0.30753,194.25,88.573
0.76797,0.30952,192.51,89.846
0.775,0.31169,190.8,91.035
0.78203,0.31401,189.13,92.142
0.78906,0.31646,187.52,93.171
0.79609,0.31902,185.95,94.122
0.80313,0.32166,184.44,94.999
0.81016,0.32438,183,95.804
0.81719,0.32717,181.62,96.539
0.82422,0.33,180.32,97.205
0.83125,0.33288,179.09,97.806
0.83828,0.3358,177.94,98.344
0.84531,0.33876,176.89,98.82
0.85234,0.34176,175.92,99.236
0.85938,0.34482,175.05,99.596
0.86641,0.34795,174.28,99.901
0.87344,0.3512,173.62,100.15
0.88047,0.35465,173.07,100.36
0.8875,0.35845,48.249,99.299
0.89453,0.36174,182.48,95.997
0.90156,0.36408,299.55,90.946
0.90859,0.36532,387.39,84.609
0.91563,0.36515,449.54,77.407
0.92266,0.36318,490.77,69.716
0.92969,0.35885,516.06,61.852
0.93672,0.35138,529.37,54.073
0.94375,0.33974,532.28,46.601
0.95078,0.32269,522.63,39.647
0.95781,0.29911,497.03,33.423
0.96484,0.26822,500.78,27.647
0.97188,0.2292,504.54,21.956
0.97891,0.18172,508.27,16.348
0.98594,0.12637,511.99,10.821
0.99297,0.064882,515.69,5.3724
1,0,519.36,0
